APP,url,classification,commit id,LLM,LLM_Deployment Environments,vectordb,VectorDB_Deployment Environments,langchain,language
edrickdch/chat-pdf,https://github.com/edrickdch/chat-pdf,context-based QA,bf5343fef116a360424245b1c154edc2bac07bfd,OpenAI,Online,chroma,local,1,python
realrasengan/AIQA,https://github.com/realrasengan/AIQA,context-based QA,fb86f8c48978bd218df62f6bf034463f0034b426,OpenAI,Online,chroma,local,1,javascript
Gamma-Software/AppifyAi,https://github.com/Gamma-Software/AppifyAi,other,1e2a008b29a0a14d590f41056226636dae266931,OpenAI,Online,chroma,local,1,python
szpnygo/VecTextSearch,https://github.com/szpnygo/VecTextSearch,other,ec6a1a2861b1399b3463026980c02507702d3508,OpenAI,Online,WEAVIATE,local,0,Go
yujiosaka/ChatIQ,https://github.com/yujiosaka/ChatIQ,context-based QA,def21481b0c132173b51d1d7a314b103db324ca2,OpenAI,Online,WEAVIATE,local,1,python
labring/FastGPT,https://github.com/labring/FastGPT,multifunction,05bf1b22653f8699b85098db3e86a7f29bdc2895,OpenAI,Online,mongo,local,0,TypeScript
c121914yu/FastGPT,https://github.com/c121914yu/FastGPT,multifunction,2ae8d43216d4e6fb739143c3cc12285fed048596,OpenAI,Online,mongo,local,0,TypeScript
SaudM/GPT-LMU-APP,https://github.com/SaudM/GPT-LMU-APP,multifunction,882ad9818e49ca004959e17a0f7d2580ebfedb10,OpenAI,Online,mongo,local,0,TypeScript
Abonia1/Context-Based-LLMChatbot,https://github.com/Abonia1/Context-Based-LLMChatbot,context-based QA,f21f7e157157d235e0b9ddd2fc997a7d33096da1,OpenAI,Online,chroma,local,1,Jupyter Notebook
h2oai/h2ogpt,https://github.com/h2oai/h2ogpt,multifunction,15f3a2d564541020f78cfc83bc90722dcda8a960,LLaMa2,local,chroma,local,1,Jupyter Notebook
Jerk400/h2ogpt-dev-local,https://github.com/Jerk400/h2ogpt-dev-local,multifunction,ba56d6471080ec447c7c5347a2d4765ae4dba5b4,LLaMa2,local,chroma,local,1,python
ushakrishnan/SearchWithOpenAI,https://github.com/ushakrishnan/SearchWithOpenAI,context-based QA,470a5d10f786efbac2feab18330c69365a937599,OpenAI,Online,chroma,local,1,python
EmbraceAGI/LocalAGI,https://github.com/EmbraceAGI/LocalAGI,task management,f2fd7824ee270b8d45b336366ec885a14b809b8b,chatglm2-6b,local,chroma,local,1,python
StanGirard/quivr,https://github.com/StanGirard/quivr,context-based QA,b6f38f7aff5f026eb46a071362c9362e057119df,OpenAI,Online,FAISS,local,1,python
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,chatbot,f4ec4df77f650fa650535c6b934d4a1775cf491a,OpenAI,Online,Supabase,online,1,TypeScript
(fork)dotneet/smart-chatbot-ui,https://github.com/dotneet/smart-chatbot-ui,chatbot,6a07b944b73ca53996a1a06cdf65ab19ed2a19ab,OpenAI,Online,mongo,local,1,TypeScript
arc53/DocsGPT,https://github.com/arc53/DocsGPT,context-based QA,744d4ebbaf4349444d8d361593c4c04652c6c54b,OpenAI,Online,mongo,local,1,python
(fork)yangchuansheng/DocsGPT,https://github.com/yangchuansheng/DocsGPT,context-based QA,595581b624b54046d756ad28bc845521ee4807d0,openai,online,FAISS,local,1,python
(fork)DanielSmith0831/DocsGPT,https://github.com/DanielSmith0831/DocsGPT,context-based QA,6b6737613ad934a28ae4251ffa9716465e6e35dd,openai,online,FAISS,local,1,python
chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,context-based QA,bc7f01925fe49c622cf7d6e2540c03fd5a0679e1,ChatGLM,Online,FAISS,local,1,TypeScript
(fork)hzg0601/langchain-ChatGLM-annotation,https://github.com/hzg0601/langchain-ChatGLM-annotation,context-based QA,da8085ba5fcb89a2e665cd3fde28cdafa38b9c29,ChatGLM,online,FAISS,local,1,python
(fork)ExpressGit/langchain-ChatGLM,https://github.com/ExpressGit/langchain-ChatGLM,context-based QA,21035d7706b24956f845c65e1492690abbb07d8b,ChatGLM,online,FAISS,local,1,TypeScript
(fork)zhjunqin/Langchain-Chatchat-InternLM,https://github.com/zhjunqin/Langchain-Chatchat-InternLM,context-based QA,761f0bc3a94ccdda9970761b6c769c7e0537e2e8,ChatGLM,online,FAISS,local,1,python
imartinez/privateGPT,https://github.com/imartinez/privateGPT,context-based QA,2f3aab9cfdc139f399387dbb90300d5a8bf8d2f1,OpenAI,Online,chroma,local,1,python
(fork)menloparklab/privateGPT-app,https://github.com/menloparklab/privateGPT-app,context-based QA,028c81038dec2f923477812f7c7f7d48706fa7a9,llama,local,chroma,local,1,python
(fork)AgentJ-WR/Private-GPT-Flask,https://github.com/AgentJ-WR/Private-GPT-Flask,context-based QA,328bbc320a6dacc1a120cfcaf9c88e0fd001b381,llama,local,chroma,local,1,python
